game_name,reviews_like_rate,all_reviews_number,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads,release_year
FINAL FANTASY VII,92,24165,2013-07-04,Square Enix,"JRPG, Turn-Based, Story Rich",win,"English, German, French, Spanish - Spain",9.49,"Single-player, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Family Sharing",13,4.39,3,66,2890000,2013
MY HERO ULTRA RUMBLE,66,20085,2023-09-29,Byking Inc.,"Anime, Action, Combat, Fighting",win,"English, Japanese, French, Italian, German, Spanish - Spain",0.0,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases",13,3.5,4,69,2400000,2023
WRATH: Aeon of Ruin,77,1744,2024-02-27,KillPixel Games,"Action, FPS","win, linux","English, French, German, Spanish - Spain, Japanese, Russian, Simplified Chinese, Turkish",12.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.5,3,14,868800,2024
Amazing Cultivation Simulator,86,18598,2020-11-25,GSQ Games,"Simulation, RPG, Sandbox",win,"English, Simplified Chinese",24.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Family Sharing",0,4.0,4,80,1170000,2020
SUPERHOT VR,82,7478,2017-05-25,SUPERHOT Team,"FPS, Puzzle, Management",win,"English, Simplified Chinese, Traditional Chinese, French, Italian, German, Spanish - Spain, Japanese, Polish, Russian, Korean",9.99,"Single-player, Steam Achievements, Tracked Controller Support, VR Supported, SteamVR Collectibles, Steam Leaderboards, Family Sharing",13,4.13,3,5,1860000,2017
Metro Mini Market Simulator,76,13,2025-05-28,Altai Entertainment,"Simulation, Management",win,"English, French, Italian, German, Simplified Chinese, Portuguese - Brazil, Traditional Chinese, Japanese, Korean, Spanish - Latin America, Russian, Turkish",2.49,"Single-player, Steam Cloud, Family Sharing",0,2.11,2,23,420,2025
Party Hard 2,78,2175,2018-10-25,Pinokl Games,"Pixel Graphics, Action, Stealth, Simulation","win, mac","English, Polish, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Korean, Japanese, Russian",10.49,"Single-player, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",13,3.47,4,18,770800,2018
The Great War: Western Front™,67,2412,2023-03-30,Petroglyph,"Strategy, War, Turn-Based, Tactical",win,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish",17.99,"Single-player, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",10,2.75,4,16,159800,2023
Hello Kitty Island Adventure,93,4446,2025-01-30,Sunblink,"Open World, Adventure, Simulation, Cute",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",18.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",0,3.2,2,16,203300,2025
Party Hard,91,8795,2015-08-25,Pinokl Games,"Pixel Graphics, Stealth, Strategy, 2D","win, mac, linux","English, Russian, German, Spanish - Spain, Romanian, French, Ukrainian, Japanese, Portuguese - Brazil, Simplified Chinese",5.79,"Single-player, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",17,3.35,4,9,2050000,2015
The Pathless,91,1499,2021-11-16,Giant Squid,"Adventure, Platformer, Story Rich, Open World, Action",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",18.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.93,3,15,113100,2021
Storage Hustle,72,1304,2023-11-08,Broken Clock,"Simulation, Management, Early Access",win,"English, Turkish, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Portuguese - Brazil, Italian",3.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,2.67,2,18,95200,2023
Devil May Cry HD Collection,93,12332,2018-03-13,"CAPCOM Co., Ltd.","Action, Combat",win,"English, French, Italian, German, Spanish - Spain, Japanese, Traditional Chinese, Simplified Chinese",17.99,"Single-player, Steam Achievements, Steam Trading Cards, Remote Play on TV, Family Sharing",17,3.91,4,40,1900000,2018
Labyrinth Of The Demon King,93,877,2025-05-13,J. R. Hudepohl,"Survival, Horror, RPG",win,"English, Japanese, Simplified Chinese, French, Italian, German, Portuguese - Brazil, Russian, Traditional Chinese, Spanish - Spain, Arabic",10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,2.75,3,8,46200,2025
La Quimera,56,103,2025-05-07,Reburn,"Early Access, FPS, Realistic",win,"English, Ukrainian",17.99,"Single-player, Online Co-op, Steam Achievements, Family Sharing",17,2.23,3,3,4300,2025
Prince of Persia The Lost Crown,84,3686,2024-08-08,Ubisoft Montpellier,"2D, Platformer, Action, Adventure",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Persian",31.99,"Single-player, Steam Achievements, Captions available",10,3.65,4,25,204500,2024
Hellsplit: Arena,85,3644,2019-09-09,Deep Type Games,"Action, RPG, Combat, Sandbox",win,English,12.49,"Single-player, Tracked Controller Support, VR Only, Family Sharing",17,3.0,4,6,382000,2019
LEGO® Bricktales,85,1225,2022-10-12,ClockStone,"Puzzle, Simulation",win,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Italian, Danish",14.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,2.32,3,12,224700,2022
Keep Driving,94,2628,2025-02-06,YCJY Games,"Pixel Graphics, RPG, Adventure",win,English,9.29,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.6,3,4,161200,2025
Erica,78,1466,2021-05-25,Flavourworks,"Adventure, Visual Novel, Horror, Story Rich",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",11.99,"Single-player, Steam Achievements, Family Sharing",17,2.86,1,10,198000,2021
Neighbors: Suburban Warfare,65,1283,2025-04-17,Invisible Walls,"Early Access, Building, Combat, FPS",win,"English, Danish, Japanese, Simplified Chinese, Traditional Chinese, Russian, German, Spanish - Spain, Portuguese - Portugal, French, Italian, Hungarian, Spanish - Latin America, Ukrainian, Turkish",5.79,"Online PvP, Steam Achievements, In-App Purchases, Family Sharing",10,2.8,3,21,103100,2025
Glyphica: Typing Survival,89,1077,2024-10-09,aliasBLACK,"Early Access, Action, Roguelike","win, mac","English, Japanese, Spanish - Spain, Portuguese - Brazil, Turkish, French, Italian, German, Indonesian, Polish, Finnish, Korean, Simplified Chinese",5.79,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.5,2,10,66100,2024
The Complex,77,3031,2020-03-31,Wales Interactive,"Adventure, Visual Novel, Sexual Content","win, mac","English, French, German, Spanish - Spain, Russian, Simplified Chinese, Turkish, Italian, Arabic, Japanese, Korean, Portuguese - Brazil",7.99,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",17,2.97,1,11,325000,2020
Human Fall Flat,94,164028,2016-07-22,No Brakes Games,"Puzzle, Adventure, Simulation","win, mac","English, French, German, Spanish - Spain, Russian, Italian, Simplified Chinese, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Thai, Turkish, Ukrainian, Traditional Chinese",10.49,"Single-player, Online PvP, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Remote Play on TV, Remote Play Together, Family Sharing",0,3.08,4,29,22850000,2016
Project Warlock,87,3981,2018-12-06,Buckshot Software,"FPS, Pixel Graphics, Fantasy",win,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese",12.0,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.63,3,10,1330000,2018
We Were Here Together,83,13024,2019-10-10,Total Mayhem Games,"Puzzle, Adventure, Story Rich","win, mac","English, French, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chinese, Dutch, Italian, Arabic, Czech, Danish, Finnish, Norwegian, Portuguese - Portugal, Portuguese - Brazil, Swedish, Thai, Turkish",7.29,"Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.62,3,11,2790000,2019
Delivery from the Pain:Survival / 末日方舟:生存,79,805,2019-06-12,HuaYiTianXin,"Survival, Adventure, Strategy, Simulation, RPG",win,"English, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Spanish - Spain, Russian, Turkish, French, German, Japanese",4.49,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",17,2.44,3,7,83800,2019
Bus Simulator 21 Next Stop,73,3512,2021-09-07,stillalive studios,"Simulation, Driving",win,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Japanese, Korean, Polish, Russian, Traditional Chinese, Turkish, Simplified Chinese, Spanish - Latin America",17.99,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,2.63,3,10,421000,2021
Into the Radius VR,93,9253,2020-07-20,CM Games,"FPS, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese",14.99,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Trading Cards, Family Sharing",17,3.75,4,11,794600,2020
KinitoPET,93,11095,2024-01-09,troy_en,"Horror, 2D, Simulation, Visual Novel",win,English,3.59,"Single-player, Steam Achievements, Family Sharing",0,3.33,5,2,367100,2024
"Guns, Gore & Cannoli",92,3331,2015-04-30,Rogueside,"Action, 2D, Shooter","win, mac","English, French, German, Spanish - Spain, Dutch, Portuguese - Portugal, Russian, Italian, Polish",4.79,"Single-player, Shared/Split Screen PvP, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",13,3.72,3,8,578700,2015
Winter Memories,97,8893,2024-01-06,Dojin Otome,"Sexual Content, Anime, RPG",win,"English, Japanese, Simplified Chinese",2.0,"Single-player, Steam Cloud, Family Sharing",17,1.51,2,18,694500,2024
WEBFISHING,97,53511,2024-10-11,lamedeveloper,Cute,win,English,2.99,"Single-player, Online Co-op, Family Sharing",0,2.08,1,40,2200000,2024
Blackjack Championship,65,1545,2020-08-25,BBstudio Inc.,"Sports, Card Game","win, mac",English,0.0,"Online PvP, Cross-Platform Multiplayer, In-App Purchases",17,2.01,4,10,457200,2020
Metal Slug: Awakening,67,3201,2024-07-19,Tencent,"RPG, 2D, Platformer, Shooter",win,"English, French, German, Japanese, Simplified Chinese, Korean, Portuguese - Brazil, Spanish - Spain",0.0,"Online PvP, Online Co-op, Cross-Platform Multiplayer, In-App Purchases",13,4.0,3,20,590500,2024
Kathy Rain 2: Soothsayer,95,207,2025-05-20,Clifftop Games,"2D, Puzzle, Visual Novel","win, mac, linux","English, French, German",10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,2.7,2,13,12000,2025
Delivery INC,71,203,2023-07-27,DIGIFOX,"Tactical, Management, Sandbox, 2.5D, Simulation","win, mac","English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Slovak, Portuguese - Brazil",14.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",0,3.0,2,12,24900,2023
Hotel Architect,91,172,2025-05-20,Pathos Interactive,"Simulation, Strategy, Management, Building",win,"English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese",10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.33,2,22,12500,2025
Shawarma Legend,92,5689,2024-07-19,Eyad Alshafei,"Simulation, Management, 2D",win,"English, French, Italian, German, Arabic, Indonesian, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Turkish",1.95,"Single-player, Family Sharing",0,2.01,1,4,678500,2024
Cooking Trip,75,32,2019-05-01,GameOn Production,"Strategy, Management, 2D, Puzzle",win,"English, French, German, Russian",4.99,"Single-player, Family Sharing",0,2.01,3,6,25100,2019
Katy and Bob: Cake Café,82,74,2018-12-07,Workroom7,"Strategy, Management, Puzzle, 2D","win, mac","English, French, German, Russian",4.99,"Single-player, Steam Achievements, Family Sharing",0,1.88,2,7,40600,2018
Dune: Imperium,95,2808,2024-03-13,Dire Wolf,"Strategy, Strategy, Card Game, Simulation","win, mac","English, French, Italian, German, Spanish - Spain, Czech, Japanese, Polish, Korean, Ukrainian, Simplified Chinese, Traditional Chinese",11.5,"Single-player, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Family Sharing",13,2.45,3,17,183200,2024
Jotunnslayer: Hordes of Hel,82,3737,2025-01-21,Games Farm,"Early Access, Action, Roguelike, RPG",win,"English, Simplified Chinese, Traditional Chinese, French, Italian, German, Spanish - Spain, Japanese, Korean, Slovak, Portuguese - Brazil, Russian",5.99,"Single-player, Steam Cloud, Family Sharing",10,3.18,3,32,226000,2025
Rogue: Genesia,91,7153,2025-03-07,Ouadi Huard,"Action, Roguelike, RPG, Strategy",win,"English, French, Simplified Chinese, German, Korean, Portuguese - Brazil, Japanese, Indonesian, Traditional Chinese, Russian",7.99,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Steam Leaderboards, Family Sharing",10,3.02,2,29,492600,2025
La-Mulana 2,83,736,2018-07-30,NIGORO,"Action, Adventure, Puzzle, Platformer, Souls-like","win, mac","English, Japanese, Simplified Chinese",12.49,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",13,3.73,5,59,168000,2018
Marvel's Midnight Suns,82,15069,2022-12-02,Firaxis Games,"Turn-Based, Tactical, RPG, Card Game",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese",79.99,"Single-player, Steam Achievements, In-App Purchases, Family Sharing",13,3.85,3,65,2230000,2022
Nice Day for Fishing,90,585,2025-05-29,FusionPlay,"Adventure, RPG, Action, 2D",win,"English, French, German, Spanish - Spain, Simplified Chinese",15.99,"Single-player, Steam Achievements, Family Sharing",0,2.94,2,4,27200,2025
CINERIS SOMNIA,87,342,2018-10-09,NAYUTA STUDIO,"Horror, Adventure, Simulation",win,"English, Japanese",7.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,2.75,1,8,47500,2018
Enter the Gungeon,95,75477,2016-04-05,Dodge Roll,"Action, Roguelike","win, linux","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese",7.99,"Single-player, Steam Achievements, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",13,3.95,4,62,6190000,2016
Last Whisper,62,88,2024-07-22,12Studio,"Action, Survival, Adventure",win,"English, French, German, Simplified Chinese, Polish, Russian, Spanish - Spain",7.79,"Single-player, Online Co-op, Steam Achievements, Family Sharing",17,2.69,3,10,15000,2024
Storyteller,87,6538,2023-03-23,Daniel Benmergui,"Puzzle, 2D","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Arabic, Swedish, Thai",8.29,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.5,3,5,470300,2023
Rocksmith® 2014 Edition REMASTERED LEARN & PLAY,87,14313,2024-12-19,Ubisoft - San Francisco,Simulation,win,"English, German, French, Italian, Spanish - Spain, Japanese",7.99,"Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Steam Leaderboards",10,4.1,4,72,1230000,2024
Laika: Aged Through Blood,92,4395,2023-10-19,Brainwash Gang,"Story Rich, Adventure, 2D, Platformer",win,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Japanese, Korean",10.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.0,4,24,216700,2023
The Brothers Hotel,80,15,2025-05-09,NEBULA NOVA GAMES,"Horror, Adventure",win,"English, French, Italian, German, Spanish - Spain, Arabic, Simplified Chinese, Portuguese - Brazil, Bulgarian, Danish, Indonesian, Dutch, Finnish, Traditional Chinese, Japanese, Korean, Spanish - Latin America, Polish, Hungarian, Norwegian, Portuguese - Portugal, Romanian, Russian, Thai, Turkish, Ukrainian, Vietnamese, Greek, Czech, Swedish",3.99,"Single-player, Steam Achievements, Remote Play on TV, Remote Play Together, Family Sharing",17,3.79,2,2,570,2025
Fairground Power Polyp Simulator,93,16,2022-12-02,CodeGraphX,"Simulation, Realistic",win,English,3.99,"Single-player, Steam Achievements, Family Sharing",0,2.52,2,3,2000,2022
Happy's Humble Burger Farm,93,1422,2021-12-03,Scythe Dev Team,"Horror, Pixel Graphics",win,"English, French, Italian, German, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Spanish - Spain",10.49,"Single-player, Steam Achievements, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",13,3.88,4,23,132300,2021
Mist Survival,77,12750,2018-08-15,Dimension 32 Entertainment,"Early Access, Simulation, Survival, Open World, Horror",win,English,10.99,"Single-player, Family Sharing",17,3.2,2,10,597900,2018
Distant Worlds 2,71,2459,2022-03-10,CodeForce,"Strategy, Simulation",win,English,22.99,"Single-player, Family Sharing",10,2.33,4,60,603000,2022
Cooking Trip: Back on the road,86,30,2019-07-17,GameOn Production,"Strategy, Simulation",win,"English, French, German, Russian",4.99,"Single-player, Family Sharing",0,2.49,3,6,27400,2019
The Political Process,96,1861,2019-11-22,Verlumino Studios LLC,Simulation,win,English,14.99,"Single-player, Steam Cloud, Family Sharing",13,3.0,2,2,66600,2019
Might & Magic: Heroes VI,46,8174,2011-10-13,Blackhole,"Strategy, RPG, Turn-Based",win,"English, Czech, French, German, Hungarian, Italian, Korean, Polish, Russian, Spanish - Spain",7.99,"Single-player, Online Co-op",13,3.34,3,68,977100,2011
Rusty Lake: Roots,97,7020,2016-10-20,Rusty Lake,"Puzzle, Adventure, Horror, 2D","win, mac","English, Dutch, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Danish, Japanese, Korean, Polish, Russian, Turkish",3.99,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",13,3.92,3,7,1140000,2016
出马,84,32,2025-05-28,SS STUDIO,"Simulation, RPG",win,"English, Simplified Chinese",4.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,2.88,2,1,930,2025
Muse Dash,91,105501,2019-06-20,peropero,"Anime, Cute, 2D, Combat","win, mac","English, Japanese, Simplified Chinese, Traditional Chinese, Korean",2.99,"Single-player, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",13,3.78,3,28,8730000,2019
Brothers in Arms: Hell's Highway™,90,2075,2008-10-08,Gearbox Software,"War, Action, FPS, Tactical",win,"English, French, Italian, Spanish - Spain",7.99,"Single-player, Family Sharing",17,3.7,3,18,492500,2008
Prince of Persia: The Two Thrones™,79,2200,2005-12-07,Ubisoft Montreal,"Action, Adventure, Platformer, Stealth, Combat",win,"English, French, German, Italian, Spanish - Spain",7.99,"Single-player, Family Sharing",10,3.84,3,20,1010000,2005
Farming Simulator 15,92,12919,2014-10-30,Giants Software,"Simulation, Open World, Realistic","win, mac","English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Czech, Dutch, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Traditional Chinese, Turkish",5.29,"Single-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,3.92,3,46,1330000,2014
Wild Assault,74,2103,2025-04-11,Combat Cat Studio,"Early Access, Shooter",win,"English, Simplified Chinese, French, German, Spanish - Spain, Russian, Japanese, Thai, Portuguese - Brazil",7.99,"MMO, Online PvP, Online Co-op, In-App Purchases",10,2.58,3,31,98000,2025
Zombotron,90,2607,2019-04-22,Ant.Karlov Games,"Action, 2D, Adventure, Shooter, RPG","win, mac","English, Russian, French, German, Portuguese - Brazil, Simplified Chinese",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",10,3.06,3,7,341000,2019
Day of Defeat: Source,90,15248,2005-09-26,Valve,"FPS, War, Action","win, linux",English,5.79,"Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats, Includes Source SDK, Family Sharing",17,3.69,3,45,8390000,2005
Gestalt: Steam & Cinder,79,1350,2024-07-16,Metamorphosis Games,"RPG, Action, Story Rich, 2D",win,"English, French, German, Spanish - Spain, Portuguese - Brazil, Japanese, Simplified Chinese",9.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.34,3,10,87000,2024
DAISY THE SWIMMER,65,100,2024-07-23,nStarcube,"Sexual Content, Action, Adventure, Combat","win, linux","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Thai, Traditional Chinese, Vietnamese, Turkish",3.59,"Single-player, Steam Achievements, Family Sharing",17,2.21,2,4,6000,2024
Granny Remake,82,981,2023-07-20,FerriteLabs,"Horror, Stealth",win,"English, Russian, German, Simplified Chinese, Polish, Portuguese - Portugal, Japanese, Indonesian",3.99,"Single-player, Steam Achievements, Captions available, Family Sharing",17,2.9,2,11,108000,2023
Dice & Fold,85,2879,2024-06-24,Tinymice Entertainment,"Card Game, Turn-Based, Combat, RPG, Roguelike","win, mac, linux","English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",3.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Remote Play Together, Family Sharing",10,2.75,3,4,163500,2024
Beltmatic,94,1393,2024-03-29,Notional Games,"Automation, Building, Sandbox, Simulation",win,English,3.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.84,5,22,100000,2024
House of Legacy,78,913,2025-05-15,S3 Studio,"Early Access, Sandbox, Management, Open World",win,"English, Simplified Chinese",8.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.07,2,37,49400,2025
Ballance,83,317,2024-01-05,Cyparade,"Platformer, Puzzle",win,"English, French, Italian, German, Spanish - Spain",3.59,"Single-player, Family Sharing",0,3.47,3,16,23800,2024
Rocket Rats,96,768,2024-12-17,Gagonfe,"Action, Roguelike, Pixel Graphics, 2D",win,"English, Portuguese - Brazil",3.59,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,3.91,3,6,47100,2024
Renaissance Kingdom Wars,74,116,2024-11-26,Reverie World Studios,"Strategy, War, Simulation, Management, RPG",win,"English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Simplified Chinese",9.49,"Single-player, Online PvP, Steam Achievements, Family Sharing",13,2.71,4,6,11000,2024
Suicide Guy VR,62,83,2020-07-24,Fabio Ferrara,"Platformer, Puzzle",win,"English, Italian, Spanish - Spain, French, German, Danish, Japanese, Korean, Polish, Russian, Simplified Chinese, Turkish, Arabic, Dutch, Portuguese - Portugal",5.79,"Single-player, Steam Achievements, VR Only, Steam Trading Cards, Family Sharing",0,2.0,2,2,102000,2020
Garten of Banban 2,68,3566,2023-03-03,Euphoric Brothers,"Horror, Puzzle",win,"English, Spanish - Spain, Portuguese - Brazil, Portuguese - Portugal, Russian, Spanish - Latin America",4.99,"Single-player, Family Sharing",13,1.67,1,1,122900,2023
Dust Fleet,71,130,2023-08-23,Orbiting Disco,"Strategy, Simulation",win,"English, German, Simplified Chinese, French",9.49,"Single-player, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",0,2.76,2,23,58900,2023
Panzer Corps Gold,91,2109,2011-07-10,Flashback Games,"Strategy, Turn-Based, War","win, mac","English, German, Russian, French",14.99,"Single-player, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",10,4.06,4,62,498800,2011
Lost But Found,74,1385,2024-11-25,Rogue Duck Interactive,"Simulation, Strategy","win, mac, linux","English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese, Turkish",3.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing",13,2.27,2,13,161100,2024
Ship of Fools,82,4250,2022-11-22,Fika Productions,"Roguelike, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese",21.99,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Cloud, Remote Play Together, Family Sharing",10,2.75,3,8,530800,2022
UBOAT,83,22043,2024-08-02,Deep Water Studio,"Simulation, War, Open World, RPG, Realistic, Management",win,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Korean, Simplified Chinese, Turkish, Czech, Portuguese - Portugal, Japanese, Ukrainian",14.99,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",17,2.83,2,49,970900,2024
The Cave,87,2366,2013-01-24,Double Fine Productions,"Adventure, Platformer, Puzzle","win, mac, linux","English, German, French, Italian, Spanish - Spain",14.99,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",13,3.5,3,12,709400,2013
Anno 1602 History Edition,72,133,2024-04-22,Ubisoft Mainz,"Strategy, Simulation, Building",win,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian",7.99,Single-player,10,2.66,4,11,36000,2024
Magicraft,91,12106,2024-11-02,Wave Games,"Action, Roguelike, RPG",win,"English, Simplified Chinese, Traditional Chinese, Japanese, German, Russian, Korean",8.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.33,1,12,859000,2024
Blade and Sorcery,96,54497,2024-06-17,WarpFrog,"Action, Adventure, RPG, Simulation, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Simplified Chinese, Thai, Traditional Chinese",14.99,"Single-player, Tracked Controller Support, VR Only, Family Sharing",17,3.41,3,35,2390000,2024
Agrou,87,2221,2020-07-25,Osmose Studio,"Strategy, Tactical",win,"English, French, Korean, Turkish, Vietnamese",4.99,"Online PvP, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",10,2.9,3,20,414000,2020
Call to Arms - Gates of Hell: Ostfront,83,22494,2021-06-11,Barbedwire Studios,"War, Tactical, Simulation, Action, FPS, Strategy",win,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Italian, Polish, Ukrainian",17.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing",17,3.67,5,36,1330000,2021
VTOL VR,98,17579,2017-08-03,"Boundless Dynamics, LLC","Simulation, Combat",win,"English, Simplified Chinese, Russian, Japanese",14.99,"Single-player, Online PvP, Online Co-op, Tracked Controller Support, VR Only, Steam Workshop, Includes level editor, Family Sharing",17,4.27,5,37,952100,2017
HighFleet,88,6238,2021-07-27,Konstantin Koshutin,"Strategy, 2D, RPG, Roguelike",win,"English, Russian",14.99,"Single-player, Family Sharing",13,3.75,4,28,640000,2021
